Hindi,English
है,Is
।,Loading...
के,Loading...
मैं,Loading...
नहीं,Loading...
हैं,Loading...
में,Loading...
एक,One
आप,Loading...
लिए,Loading...
और,And
यह,Loading...
से,Loading...
की,Loading...
क्या,Loading...
कि,Loading...
तुम,You
हो,Loading...
कर,Loading...
मुझे,Loading...
को,To
हम,Loading...
था,Loading...
वह,Loading...
पर,Loading...
हूँ,Loading...
रहे,Loading...
भी,Loading...
रहा,Loading...
का,Loading...
अपने,Our
कुछ,Loading...
तो,Loading...
गया,Loading...
इस,Loading...
मेरे,My
ठीक,Loading...
करने,Loading...
किया,Loading...
साथ,Loading...
उसे,Loading...
हाँ,Loading...
वे,They
सकते,Loading...
लेकिन,Loading...
यहाँ,Loading...
तुम्हें,Loading...
कोई,Any
तरह,Loading...
अब,Loading...
पता,Loading...
होगा,Loading...
बहुत,Loading...
बात,Loading...
सकता,Can
जाओ,Loading...
ही,Loading...
दिया,Loading...
करना,Loading...
जा,Loading...
मेरी,Loading...
सब,Loading...
बारे,Loading...
लगता,Loading...
कहा,Loading...
जो,Loading...
वहाँ,Loading...
जब,Loading...
इसे,Loading...
अच्छा,Loading...
चाहिए,Loading...
बाहर,Loading...
करो,Loading...
क्यों,Loading...
अपनी,Loading...
थे,Loading...
चलो,Let us go
दो,Loading...
ले,Loading...
किसी,Loading...
फिर,Loading...
काम,Loading...
अगर,Loading...
ये,Loading...
कैसे,Loading...
करते,Do
पहले,Loading...
बस,Loading...
चाहते,Loading...
जाएगा,Loading...
आदमी,Man
कभी,Loading...
समय,Loading...
वापस,Loading...
हमें,Loading...
रही,Loading...
आ,Loading...
तक,Loading...
हमारे,Loading...
मेरा,My
रूप,Loading...
मैंने,Loading...
करता,Loading...
या,Loading...
अभी,Loading...
मिल,Loading...
चाहता,wants
घर,Loading...
उसके,Loading...
सभी,Loading...
उस,Loading...
मत,Loading...
आपको,To you
जाना,Loading...
अरे,Loading...
सिर्फ,Loading...
बंद,Loading...
ओह,Loading...
उन्हें,Loading...
सही,Loading...
हूं,Loading...
थी,Loading...
देखो,Loading...
ने,Loading...
तुम्हारे,Loading...
प्यार,Loading...
वो,Loading...
जरूरत,Need
लोगों,Loading...
हुआ,Loading...
करें,Loading...
ऐसा,Loading...
उन्होंने,Loading...
दिन,Loading...
न,Loading...
बाद,Loading...
कौन,Loading...
हर,Loading...
पास,Loading...
दे,Loading...
नीचे,Loading...
देखा,Loading...
जाता,Loading...
बार,Loading...
कृपया,Loading...
धन्यवाद,Loading...
पिता,Loading...
करेंगे,Loading...
भगवान,Loading...
क्योंकि,Loading...
लोग,Loading...
वाला,Loading...
जानते,Loading...
देख,Loading...
छोड़,Loading...
आज,Loading...
मतलब,Loading...
कहाँ,Where?
जीवन,Loading...
आओ,Loading...
जाने,Loading...
अधिक,Loading...
यही,Loading...
होता,Loading...
सर,Loading...
मदद,Loading...
रात,Loading...
माँ,Loading...
लिया,taken
केवल,Loading...
तुमने,Loading...
सबसे,Loading...
नाम,Name
मार,Loading...
हुए,Loading...
हमेशा,Loading...
याद,Loading...
कारण,Loading...
गए,Loading...
आया,Loading...
जानता,knows
शायद,Loading...
साल,Loading...
दूर,Loading...
हे,Loading...
होने,Loading...
फोन,Loading...
भाई,Loading...
वास्तव,Loading...
शुरू,Loading...
उसकी,Loading...
मिला,Loading...
जगह,Loading...
कोशिश,Loading...
कम,Less
सच,Truth
लग,Loading...
शादी,Loading...
पसंद,Loading...
चला,Loading...
इन,Loading...
अच्छी,Good
तुम्हारी,yours
यहां,Loading...
दोस्त,Loading...
मर,Die
कहते,Loading...
होना,Loading...
दुनिया,Loading...
तुम्हारा,Loading...
एम,Loading...
कह,Loading...
इसके,Loading...
रुको,Loading...
तैयार,Loading...
बच्चे,Loading...
उन,Loading...
लो,Loading...
उनके,Loading...
जैसे,Loading...
इतना,Loading...
जल्दी,Loading...
अंदर,Inside
श्री,Loading...
यदि,Loading...
पिताजी,Loading...
कल,Loading...
ऊपर,Loading...
देंगे,Loading...
आपके,Loading...
हमारी,Loading...
बताओ,Loading...
खुद,Loading...
गई,Loading...
अपना,Loading...
खैर,Loading...
उसने,Loading...
वाले,those
चलते,Loading...
रहो,Stay
दी,Loading...
मिलता,Loading...
बेहतर,Loading...
कार,Loading...
बकवास,Nonsense
पीछे,Loading...
द्वारा,Loading...
मुझसे,Loading...
हाथ,Loading...
विश्वास,Loading...
पूरी,Complete
ना,Loading...
महिला,Loading...
लड़की,Loading...
आपका,Loading...
देखने,to see
तुमसे,Loading...
लगा,Loading...
उसका,Loading...
चल,Loading...
ओर,Loading...
मिनट,Loading...
समझ,Understanding
बिना,Loading...
बता,Loading...
तीन,Loading...
सुनो,Loading...
पैसे,Loading...
होगी,Loading...
दोनों,Loading...
कहना,Loading...
पुलिस,Loading...
देना,Loading...
पुरुष,Loading...
कहीं,Loading...
बना,Loading...
परिवार,Loading...
खो,Loading...
दिल,Loading...
हां,Yes
लेने,Loading...
बेटा,Loading...
सोचा,Loading...
आगे,Loading...
जहां,Loading...
पागल,Loading...
सुना,Loading...
जाते,Loading...
चले,Loading...
बोल,Lyrics
गलत,Loading...
ज्यादा,Loading...
महसूस,Loading...
चाहती,Loading...
सकती,Loading...
यकीन,Loading...
इसलिए,Loading...
पी,Loading...
डर,Loading...
आता,Loading...
आपकी,Loading...
लड़का,Loading...
उह,Loading...
समस्या,Loading...
बुरा,Loading...
सुंदर,Loading...
छोटे,Loading...
बताया,Loading...
खत्म,Loading...
आने,Loading...
माफ,Loading...
कमबख्त,Loading...
यार,Loading...
बीच,Loading...
दूसरे,Loading...
काफी,Enough
भूल,Mistake
ध्यान,Loading...
हुई,Loading...
तब,Loading...
बेटी,Loading...
रहने,Loading...
खेल,Loading...
बड़ा,Loading...
माफी,Loading...
बच्चों,Loading...
शहर,Loading...
आह,Loading...
पूरा,Loading...
बदल,Loading...
देने,Loading...
देखते,Loading...
देर,Loading...
डाल,Loading...
बिल्कुल,Loading...
कई,Many
वाह,Loading...
सोच,Loading...
भुगतान,Loading...
जैक,Loading...
बेटे,Loading...
मुझ,Loading...
पानी,Loading...
महोदय,Loading...
आग,Loading...
देता,Loading...
आते,Loading...
कहां,Loading...
चिंता,Loading...
रखना,Loading...
उससे,Loading...
पहली,First
बनाने,Loading...
गोली,Loading...
माध्यम,Loading...
कितना,Loading...
सुरक्षित,Loading...
देखना,Loading...
वहां,Loading...
इससे,Loading...
इसका,Loading...
मारा,Loading...
पत्नी,Loading...
रहना,Loading...
पार्टी,Loading...
अन्य,Loading...
अच्छे,Loading...
हैलो,Loading...
महान,Loading...
आए,Loading...
क्षमा,Loading...
पिछले,Loading...
मारने,Loading...
रहते,Loading...
वादा,Loading...
राजा,Loading...
इंतजार,Loading...
उनकी,Loading...
सुबह,Loading...
सिर,Loading...
नए,Loading...
विचार,Loading...
दोस्तों,Loading...
योजना,Loading...
प्राप्त,Loading...
घंटे,Loading...
खुश,Loading...
अंत,Loading...
करती,Loading...
करेगा,will
थोड़ा,Loading...
सम्मान,Respect
आदेश,Loading...
पूरे,Loading...
अलग,Loading...
उम्मीद,Hope
आर,Loading...
पाने,Loading...
औरत,Loading...
इतनी,Loading...
लड़के,Loading...
गिर,Loading...
संगीत,Loading...
रास्ता,Loading...
युद्ध,Loading...
रास्ते,Loading...
हमारा,Loading...
जारी,Loading...
मन,Loading...
लड़ाई,Loading...
डाला,Loading...
शुक्रिया,Loading...
मुश्किल,Loading...
आराम,Loading...
चुका,Loading...
प्रिय,Loading...
झूठ,Loading...
बंदूक,Loading...
खुशी,Loading...
नरक,Loading...
आशा,Loading...
चुप,Silent
उपयोग,Loading...
सवाल,Loading...
आपने,Loading...
वैसे,By the way
देश,Loading...
रखो,Please Keep
असली,Loading...
बड़ी,Loading...
जैसा,Loading...
सुन,Loading...
हाय,Loading...
चोट,Loading...
रखा,Loading...
मौत,Loading...
पापा,Loading...
